Date,Close/Last,Volume,Open,High,Low
06/10/2022,$232.23,98090920,$235.1566,$239.5,$227.9133
06/13/2022,$215.7366,102767260,$223.1666,$226.6333,$214.6833
06/14/2022,$220.89,97988800,$218.2866,$226.33,$211.7366
06/15/2022,$233,119131962,$220.9166,$235.6633,$218.15
06/16/2022,$213.1,107390711,$222.7366,$225.1666,$208.6933
06/17/2022,$216.76,92641779,$213.4333,$220.9694,$213.1966
06/21/2022,$237.0366,122792982,$224.6033,$243.5773,$224.3333
06/22/2022,$236.0866,101527270,$234.5033,$246.8333,$233.8266
06/23/2022,$235.07,104202700,$237.905,$239.3166,$228.6366
06/24/2022,$245.7066,95770720,$237.4683,$246.0666,$236.0866
06/27/2022,$244.92,89178309,$249.3666,$252.07,$242.5655
06/28/2022,$232.6633,90666519,$244.4833,$249.97,$232.3433
06/29/2022,$228.49,82897268,$230.5,$231.1733,$222.2733
06/30/2022,$224.4733,94600449,$224.51,$229.4566,$218.8633
07/01/2022,$227.2633,74460457,$227,$230.23,$222.12
07/05/2022,$233.0666,84779108,$223,$233.1466,$216.1667
07/06/2022,$231.7333,71853637,$230.78,$234.5633,$227.1866
07/07/2022,$244.5433,81930698,$233.92,$245.3616,$232.21
07/08/2022,$250.7633,101854090,$242.3333,$254.9799,$241.1614
07/11/2022,$234.3433,99509230,$252.1033,$253.0633,$233.6266
07/12/2022,$233.07,87930969,$236.8466,$239.7733,$228.3683
07/13/2022,$237.04,97954510,$225.5,$242.0599,$225.0333
07/14/2022,$238.3133,78557498,$234.8966,$238.6533,$229.3333
07/15/2022,$240.0666,69683017,$240,$243.6233,$236.89
07/18/2022,$240.5466,82537448,$244.9366,$250.5166,$239.6033
07/19/2022,$245.53,80890118,$245,$247.14,$236.9766
07/20/2022,$247.5,88864089,$246.7833,$250.6633,$243.483
07/21/2022,$271.7066,142032194,$255.1066,$273.2666,$254.8666
07/22/2022,$272.2433,103472860,$276.22,$280.7866,$270.7133
07/25/2022,$268.4333,64073526,$272.2166,$274.1466,$267.4
07/26/2022,$258.86,66820777,$266.5133,$267.3099,$256.2633
07/27/2022,$274.82,88110009,$263.81,$275.9256,$261.79
07/28/2022,$280.9,84723008,$280.0666,$283.3,$272.8
07/29/2022,$297.15,95312890,$280.7,$298.32,$279.1
08/01/2022,$297.2766,117042912,$301.275,$311.8782,$295
08/02/2022,$300.5866,95577490,$294.0033,$307.8333,$292.6666
08/03/2022,$307.3966,80091128,$305,$309.55,$301.15
08/04/2022,$308.6333,72256327,$311,$313.6066,$305
08/05/2022,$288.17,113172911,$302.67,$304.6066,$285.5446
08/08/2022,$290.4233,99365290,$295,$305.2,$289.0854
08/09/2022,$283.3333,86244699,$290.2933,$292.3966,$279.3533
08/10/2022,$294.3566,94918869,$297.0666,$297.51,$283.37
08/11/2022,$286.63,70155067,$296.5133,$298.2366,$285.8333
